,TOTAL,DATETIME
0,1071896,2002-10-28
1,1036352,2002-11-28
2,1125021,2002-12-28
4,1026429,2003-01-28
5,1045186,2003-02-28
6,1224943,2003-03-28
7,1128300,2003-04-28
8,1068750,2003-05-28
9,1106923,2003-06-28
10,1241326,2003-07-28
11,1137157,2003-08-28
12,852293,2003-09-28
13,1172592,2003-10-28
14,1146793,2003-11-28
15,1195041,2003-12-28
17,1151057,2004-01-28
18,1273926,2004-02-28
19,1437806,2004-03-28
20,1378151,2004-04-28
21,1286694,2004-05-28
22,1346971,2004-06-28
23,1421474,2004-07-28
24,1227743,2004-08-28
25,823437,2004-09-28
26,1305876,2004-10-28
27,1274491,2004-11-28
28,1358497,2004-12-28
30,1314815,2005-01-28
31,1381273,2005-02-28
32,1658888,2005-03-28
33,1412662,2005-04-28
34,1391943,2005-05-28
35,1425000,2005-06-28
36,1505911,2005-07-28
37,1282011,2005-08-28
38,1075391,2005-09-28
39,1331418,2005-10-28
40,1376582,2005-11-28
41,1427995,2005-12-28
43,1334108,2006-01-28
44,1372968,2006-02-28
45,1660864,2006-03-28
46,1552090,2006-04-28
47,1448637,2006-05-28
48,1486505,2006-06-28
49,1532436,2006-07-28
50,1353797,2006-08-28
51,1065306,2006-09-28
52,1299430,2006-10-28
53,1356691,2006-11-28
54,1439325,2006-12-28
56,1358549,2007-01-28
57,1384664,2007-02-28
58,1693705,2007-03-28
59,1542509,2007-04-28
60,1496427,2007-05-28
61,1557062,2007-06-28
62,1622754,2007-07-28
63,1521234,2007-08-28
64,1142685,2007-09-28
65,1436584,2007-10-28
66,1459270,2007-11-28
67,1516891,2007-12-28
69,1449038,2008-01-28
70,1527146,2008-02-28
71,1765301,2008-03-28
72,1619817,2008-04-28
73,1511808,2008-05-28
74,1495065,2008-06-28
75,1579964,2008-07-28
76,1421777,2008-08-28
77,1005134,2008-09-28
78,1328294,2008-10-28
79,1249666,2008-11-28
80,1437341,2008-12-28
82,1286611,2009-01-28
83,1315697,2009-02-28
84,1556473,2009-03-28
85,1498528,2009-04-28
86,1378262,2009-05-28
87,1391180,2009-06-28
88,1518749,2009-07-28
89,1388761,2009-08-28
90,1062627,2009-09-28
91,1317952,2009-10-28
92,1266040,2009-11-28
93,1420057,2009-12-28
95,1307769,2010-01-28
96,1282874,2010-02-28
97,1643010,2010-03-28
98,1475270,2010-04-28
99,1405974,2010-05-28
100,1451060,2010-06-28
101,1591640,2010-07-28
102,1424195,2010-08-28
103,1158874,2010-09-28
104,1435246,2010-10-28
105,1365955,2010-11-28
106,1508646,2010-12-28
108,1361859,2011-01-28
109,1369390,2011-02-28
110,1661327,2011-03-28
111,1561463,2011-04-28
112,1453702,2011-05-28
113,1473489,2011-06-28
114,1605244,2011-07-28
115,1409242,2011-08-28
116,1176723,2011-09-28
117,1401182,2011-10-28
118,1397909,2011-11-28
119,1490030,2011-12-28
121,1338339,2012-01-28
122,1428706,2012-02-28
123,1699171,2012-03-28
124,1507115,2012-04-28
125,1467386,2012-05-28
126,1485372,2012-06-28
127,1561775,2012-07-28
128,1418063,2012-08-28
129,1137686,2012-09-28
130,1357923,2012-10-28
131,1376262,2012-11-28
132,1471803,2012-12-28
134,1352730,2013-01-28
135,1362599,2013-02-28
136,1707495,2013-03-28
137,1433001,2013-04-28
138,1480121,2013-05-28
139,1479601,2013-06-28
140,1514228,2013-07-28
141,1390581,2013-08-28
142,1105462,2013-09-28
143,1358055,2013-10-28
144,1327822,2013-11-28
145,1520457,2013-12-28
147,1352000,2014-01-28
148,1356389,2014-02-28
149,1644060,2014-03-28
150,1496604,2014-04-28
151,1457811,2014-05-28
152,1476621,2014-06-28
153,1584517,2014-07-28
154,1431365,2014-08-28
155,1177962,2014-09-28
156,1436004,2014-10-28
157,1382074,2014-11-28
158,1605070,2014-12-28
160,1477146,2015-01-28
161,1449514,2015-02-28
162,1823215,2015-03-28
163,1600270,2015-04-28
164,1556419,2015-05-28
165,1566022,2015-06-28
166,1715551,2015-07-28
167,1540572,2015-08-28
168,1311445,2015-09-28
169,1546548,2015-10-28
170,1568882,2015-11-28
171,1777688,2015-12-28
173,1636474,2016-01-28
174,1623981,2016-02-28
175,1975239,2016-03-28
176,1741885,2016-04-28
177,1693440,2016-05-28
178,1709629,2016-06-28
179,1849348,2016-07-28
180,1641360,2016-08-28
181,1421752,2016-09-28
182,1569297,2016-10-28
183,1660529,2016-11-28
184,1848412,2016-12-28
186,1725953,2017-01-28
187,1672778,2017-02-28
188,2061502,2017-03-28
189,1907187,2017-04-28
190,1792859,2017-05-28
191,1834102,2017-06-28
192,2022709,2017-07-28
193,1843924,2017-08-28
194,1316499,2017-09-28
195,1807316,2017-10-28
196,1795731,2017-11-28
197,1984126,2017-12-28
199,1876706,2018-01-28
200,1813388,2018-02-28
201,2233557,2018-03-28
202,1921407,2018-04-28
203,1924374,2018-05-28
204,1993202,2018-06-28
205,2090457,2018-07-28
206,1885859,2018-08-28
207,1575230,2018-09-28
208,1896547,2018-10-28
209,1970912,2018-11-28
210,2153446,2018-12-28
212,1982187,2019-01-28
213,1932682,2019-02-28
214,2341648,2019-03-28
215,2102156,2019-04-28
216,2092436,2019-05-28
217,2091866,2019-06-28
218,2245837,2019-07-28
219,1985757,2019-08-28
220,1597810,2019-09-28
221,2019099,2019-10-28
222,2035963,2019-11-28
223,2309547,2019-12-28
225,2146032,2020-01-28
226,2126328,2020-02-28
227,1087856,2020-03-28
228,58194,2020-04-28
229,168853,2020-05-28
230,410126,2020-06-28
231,567159,2020-07-28
232,538395,2020-08-28
233,559995,2020-09-28
234,779786,2020-10-28
235,879817,2020-11-28
236,1080456,2020-12-28
238,1056769,2021-01-28
239,990900,2021-02-28
240,1590233,2021-03-28
241,1581886,2021-04-28
242,1810712,2021-05-28
243,1872560,2021-06-28
244,2049426,2021-07-28
245,1684831,2021-08-28
246,1477644,2021-09-28
